Sample Number (100 samples per second),UNIX Timestamp (Milliseconds since 1970-01-01),Temperature (),Set Value (),u (),u_sum (),de ()
349,1673969732696,27.95,33.0,21.408,201.303,0.0
350,1673969732862,27.97,33.0,21.229,201.555,-0.02
351,1673969733029,27.97,33.0,21.331,201.806,0.0
352,1673969733196,27.98,33.0,21.242,202.057,-0.01
353,1673969733362,27.99,33.0,21.204,202.308,-0.01
354,1673969733529,27.99,33.0,21.255,202.558,0.0
355,1673969733696,28.0,33.0,21.167,202.808,-0.01
356,1673969733862,28.02,33.0,21.038,203.057,-0.02
357,1673969734029,28.03,33.0,21.05,203.306,-0.01
358,1673969734196,28.02,33.0,21.191,203.555,0.01
359,1673969734363,28.03,33.0,21.053,203.803,-0.01
360,1673969734530,28.04,33.0,21.014,204.051,-0.01
361,1673969734696,28.05,33.0,20.976,204.299,-0.01
362,1673969734863,28.05,33.0,21.027,204.546,0.0
363,1673969735029,28.06,33.0,20.939,204.793,-0.01
364,1673969735197,28.07,33.0,20.9,205.04,-0.01
365,1673969735364,28.08,33.0,20.862,205.286,-0.01
366,1673969735531,28.09,33.0,20.823,205.531,-0.01
367,1673969735697,28.09,33.0,20.875,205.777,0.0
368,1673969735864,28.11,33.0,20.696,206.021,-0.02
369,1673969736030,28.11,33.0,20.798,206.266,0.0
370,1673969736196,28.12,33.0,20.709,206.51,-0.01
371,1673969736363,28.13,33.0,20.671,206.753,-0.01
372,1673969736531,28.13,33.0,20.722,206.997,0.0
373,1673969736697,28.14,33.0,20.633,207.24,-0.01
374,1673969736863,28.15,33.0,20.595,207.482,-0.01
375,1673969737030,28.15,33.0,20.646,207.725,0.0
376,1673969737196,28.15,33.0,20.648,207.967,0.0
377,1673969737362,28.17,33.0,20.469,208.209,-0.02
378,1673969737529,28.18,33.0,20.481,208.45,-0.01
379,1673969737697,28.18,33.0,20.532,208.691,0.0
380,1673969737862,28.18,33.0,20.534,208.932,0.0
381,1673969738028,28.2,33.0,20.355,209.172,-0.02
382,1673969738195,28.21,33.0,20.366,209.411,-0.01
383,1673969738362,28.21,33.0,20.418,209.651,0.0
384,1673969738528,28.23,33.0,20.239,209.889,-0.02
385,1673969738696,28.23,33.0,20.341,210.128,0.0
386,1673969738862,28.24,33.0,20.252,210.366,-0.01
387,1673969739028,28.25,33.0,20.214,210.603,-0.01
388,1673969739195,28.26,33.0,20.175,210.84,-0.01
389,1673969739363,28.27,33.0,20.136,211.077,-0.01
390,1673969739529,28.26,33.0,20.278,211.314,0.01
391,1673969739695,28.27,33.0,20.139,211.55,-0.01
392,1673969739862,28.27,33.0,20.191,211.787,0.0
393,1673969740028,28.29,33.0,20.012,212.022,-0.02
394,1673969740195,28.3,33.0,20.024,212.257,-0.01
395,1673969740362,28.3,33.0,20.075,212.492,0.0
396,1673969740528,28.32,33.0,19.896,212.726,-0.02
397,1673969740695,28.32,33.0,19.998,212.96,0.0
398,1673969740861,28.33,33.0,19.909,213.194,-0.01
399,1673969741029,28.33,33.0,19.961,213.427,0.0
400,1673969741195,28.35,33.0,19.782,213.66,-0.02
401,1673969741361,28.35,33.0,19.883,213.892,0.0
402,1673969741528,28.36,33.0,19.795,214.124,-0.01
403,1673969741695,28.36,33.0,19.846,214.356,0.0
404,1673969741861,28.37,33.0,19.758,214.588,-0.01
405,1673969742028,28.38,33.0,19.719,214.819,-0.01
406,1673969742194,28.38,33.0,19.77,215.05,0.0
407,1673969742360,28.39,33.0,19.682,215.28,-0.01
408,1673969742528,28.4,33.0,19.643,215.51,-0.01
409,1673969742694,28.41,33.0,19.604,215.74,-0.01
410,1673969742862,28.42,33.0,19.566,215.969,-0.01
411,1673969743029,28.42,33.0,19.617,216.198,0.0
412,1673969743194,28.43,33.0,19.529,216.426,-0.01
413,1673969743361,28.44,33.0,19.49,216.654,-0.01
414,1673969743529,28.45,33.0,19.451,216.882,-0.01
415,1673969743695,28.45,33.0,19.503,217.109,0.0
416,1673969743861,28.46,33.0,19.414,217.336,-0.01
417,1673969744028,28.46,33.0,19.465,217.563,0.0
418,1673969744195,28.47,33.0,19.377,217.79,-0.01
419,1673969744361,28.48,33.0,19.338,218.016,-0.01
420,1673969744529,28.48,33.0,19.389,218.242,0.0
421,1673969744694,28.5,33.0,19.211,218.467,-0.02
422,1673969744861,28.5,33.0,19.312,218.692,0.0
423,1673969745027,28.51,33.0,19.223,218.916,-0.01
424,1673969745194,28.52,33.0,19.185,219.14,-0.01
425,1673969745361,28.52,33.0,19.236,219.364,0.0
426,1673969745527,28.53,33.0,19.148,219.588,-0.01
